idcategory,categdesc
241513,Arrows forming a circle; an arc of a circle or a ring
241515,Arrows forming any other geometrical figure
241517,Arrows formed by an inscription
241521,Arrowheads
2417,SIGNS; NOTATIONS; SYMBOLS
241701,Punctuation marks; brackets; quotation marks
241702,Dots
241703,Asterisks
241704,Exclamation marks; question marks
241705,Mathematical signs
241706,Several mathematical signs
241707,Mathematical signs combined with figures or letters
241708,Symbol of infinity
241709,Other mathematical symbols; %; pi; factor ²
241710,Musical symbols
241711,Treble clefs alone
241712,Notes alone
241713,Treble clefs with notes and stave or with stave alone; notes with stave (without
241714,Other musical symbols
241715,Astronomical or astrological signs; signs of the zodiac; signs for masculine or
241717,At-symbol @
241718,Currency symbols
241719,Recycling symbol
241720,Check sign
241721,Yin and yang symbol
241722,Peace symbol
241723,Prohibition symbol
241725,Other signs; notations or symbols : º (temp); #; bar codes
241797,Dactylographic signs : &; paragraph signs; new line signs
241798,Category deleted in new version
241799,Category deleted in new version
25,ORNAMENTAL MOTIFS; SURFACES OR BACKGROUNDS WITH ORNAMENTS
2501,ORNAMENTAL MOTIFS
250101,Frontispieces (as a title page or on a label)
250105,Ornamental bands and borders (except 25.1.9)
250106,Banderoles; cartouches
250109,Framework and frames (quadrangular)
250110,Complete framework and frames
250113,Partial frames; embellishments
250115,Labels; collarettes (bottle-neck labels)
250117,Bottle collarettes (bottle-neck labels)
250118,Labels in the form of bands or rings
250119,Other labels (in another form not specified hereunder)
250125,Other ornamental motifs
250191,Labels only with inscriptions
250192,O Labels in the form of a square
250193,O Labels in the form of a rhomb
250194,O Labels in the form of a rectangle
250195,O Labels in the form of an other irregular trapezia
250196,O Labels in the form of a circle
250197,O Labels in the form of an ellipse
250198,O Labels in the form of a triangle
250199,O Labels in the form of a polygon
2503,HORIZONTALLY ELONGATED ORNAMENTAL SURFACES
250301,Horizontally elongated surfaces
250303,Elongated surfaces with two short sides convex or concave
250305,Elongated surfaces with one short side convex or concave
250307,Elongated surfaces with entasis on one or two long sides
250309,Elongated polygons
250311,Elongated surfaces with one or two long sides concave
250313,Elongated surfaces with one or two long sides convex
250315,Elongated surfaces with one or more sides consisting of a series of arcs of circ
250325,Other elongated surfaces
250397,Elongated surfaces with entasis on one side
250398,Elongated surfaces with entasis on two sides
250399,Elongated surfaces with dark surfaces
2505,BACKGROUNDS DIVIDED INTO TWO OR FOUR
250501,Backgrounds divided into two; vertically
250502,Backgrounds divided into two; horizontally
250503,Backgrounds divided into two; diagonally
250505,Backgrounds divided crosswise; vertically and horizontally
250506,Backgrounds divided crosswise; diagonally
250525,Other backgrounds divided into two; three or four
250594,Backgrounds in WORDS or NUMERALS divided into two; vertically
250595,Backgrounds in WORDS or NUMERALS divided into two; horizontally
250596,Backgrounds in WORDS or NUMERALS divided into two; diagonally
250597,Backgrounds in WORDS or NUMERALS divided crosswise; vertically and horizontally
250598,Backgrounds in WORDS or NUMERALS divided crosswise; diagonally
250599,Other backgrounds in WORDS or NUMERALS divided into two; three or four
2507,SURFACES OR BACKGROUNDS COVERED WITH REPEATED GEOMETRICAL FIGURES; FIGURATIVE EL
250701,Surfaces or backgrounds covered with repeated geometrical figures or designs
250702,Surfaces or backgrounds covered with lozenge shapes
250703,Surfaces or backgrounds covered with squares or rectangles (except 25.7.4)
250704,Surfaces or backgrounds in check pattern
250705,Surfaces or backgrounds covered with polygons
250706,Surfaces or backgrounds covered with circles or ellipses
250707,Surfaces or backgrounds covered with dots
250708,Surfaces or backgrounds covered with other repeated geometrical figures or desig
250715,Surfaces or backgrounds covered with hatching
250717,Surfaces or backgrounds covered with a repeated inscription
250720,Surfaces or backgrounds covered with lines or bands
250721,Surfaces or backgrounds covered with straight lines or bands
250722,Surfaces or backgrounds covered with wavy lines or bands
250723,Surfaces or backgrounds covered with lines or bands in zigzag or chevron pattern
250725,Surfaces or backgrounds covered with other repeated figurative elements
250799,Surfaces or backgrounds covered with spickled; recycled paper-like surfaces
2512,SURFACES OR BACKGROUNDS COVERED WITH OTHER ORNAMENTS
251201,Surfaces or backgrounds covered with rays or radiating lines
251203,Moiré surfaces or backgrounds; marble; degrading surfaces; wooden-like surfaces
251225,Surfaces or backgrounds covered with any other ornament & mosaic surfaces
251299,Rainbow colours surfaces or backgrounds
26,GEOMETRICAL FIGURS AND SOLIDS
2601,CIRCLES
260101,Category deleted in new version
260102,Ellipses
260103,One circle
260104,Two circles one inside the other
260105,More than two circles; inside one another; spirals
260106,Several circles; juxtaposed; tangential or intersecting
260107,Circles containing one or more ellipses (precise the content)
260108,Circles containing one or more polygons (except 26.1.10 and 26.1.11) (precise th
260109,
260110,Circles containing one or more triangles or lines forming an angle (precise the
260111,Circles containing one or more quadrilaterals (precise the content)
260112,Circles containing one or more other geometrical figures (precise the content)
260113,Circles containing representations of heavenly bodies or natural phenomena
260114,Circles containing representations of human beings or parts of the human body
260115,Circles containing representations of animals; parts of animals' bodies or plant
260116,Circles containing other figurative elements
260117,Circles containing one or more numerals
260118,Circles containing one or more letters
260119,Circles with inscriptions projecting beyond the circumference
260120,Circles containing inscriptions arranged along the radius or diameter
260121,Circles containing inscriptions arranged in circular form
260122,Circles containing inscriptions arranged in some other form
260124,Circles with dark surfaces or parts of surfaces
260196,More than three circles juxtaposed
260197,three circles juxtaposed
260198,two circles juxtaposed
260199,Circles containing one or more lines or bands (specify the content)
2602,SEGMENTS OR SECTORS OF CIRCLES OR ELLIPSES
260201,Segments of circles or ellipses (except 26.2.7)
260203,Sectors of circles or ellipses (except 26.2.7)
260205,Joined or intersecting segments or sectors of circles or ellipses
260207,Semi-circles; semi-ellipses
260208,Semi-circles or semi-ellipses containing letters
260209,Semi-circles or semi-ellipses with dark surface
260212,Segments or sectors of circles or ellipses containing one or more geometrical fi
260217,Segments or sectors of circles or ellipses; semi-circles or semi-ellipses containing one or more numerals
260218,Segments or sectors of circles or ellipses; semi-circles or semi-ellipses containing one or more letters
260219,Segments or sectors of circles or ellipses; semi-circles or semi-ellipses with inscriptions projecting beyond the circumference
2603,TRIANGLES; LINES FORMING AN ANGLE
260301,One triangle
260302,Two triangles; one inside the other
260303,More than two triangles; inside one another
260304,Several triangles; juxtaposed; joined or intersecting
260305,Triangles pointing downwards
260306,Triangular figures with one or more convex or concave sides
260307,Triangular figures with one or more truncated or rounded angles
260310,Triangles containing one or more circles; ellipses or polygons (except 26.3.11)
260311,Triangles containing one or more quadrilaterals (specify the content)
260312,Triangles containing one or more other geometrical figures (specify the content)
260313,Triangles containing representations of heavenly bodies or natural phenomena
260314,Triangles containing representations of human beings or parts of the human body
260315,Triangles containing representations of animals or parts of animals' bodies or p
260316,Triangles containing other figurative elements
260317,Triangles containing one or more numerals
260318,Triangles containing one or more letters
260319,Triangles with inscriptions projecting beyond one or more of the sides there of
260322,Triangles containing inscriptions
260323,Lines or bands forming an angle
260324,Triangles with dark surfaces or parts of surfaces
260399,Triangles containing one or more lines or bands (specify the content)
2604,QUADRILATERALS
260401,Squares
260402,Rectangles
260403,Rhombs or squares standing on one of the corners thereof
260404,Other irregular parallelograms; trapezia and quadrilaterals
260405,One quadrilateral
260406,Quadrilateral figures with one or more convex or concave sides; quadrilateral wi
260407,Two quadrilaterals; one inside the other
260408,More than two quadrilaterals; inside one another
260409,Several quadrilaterals juxtaposed; joined or intersecting
260410,Quadrilaterals containing one or more circles; ellipses or polygons (specify the
260411,Quadrilaterals containing one or more triangles or lines forming an angle (speci
260412,Quadrilaterals containing one or more other geometrical figures (specify the con
260413,Quadrilaterals containing representations of heavenly bodies or natural phenomen
260414,Quadrilaterals containing representations of human beings or parts of the human
260415,Quadrilaterals containing representations of animals or parts of animals' bodies
260416,Quadrilaterals containing other figurative elements
260417,Quadrilaterals containing one or more numerals
260418,Quadrilaterals containing one or more letters
260419,Quadrilaterals with inscriptions projecting beyond one or more of the sides ther
260422,Quadrilaterals containing other inscriptions
260424,Quadrilaterals with dark surfaces or parts of surfaces
260498,Quadrilaterals containing one or more rounded corners
260499,Quadrilaterals containing one or more lines or bands (specify the content)
2605,OTHER POLYGONS
260501,One polygon
260502,Two polygons; one inside the other (except 26.5.10 and 26.5.11)
260503,Several polygons; inside one another (except 26.5.10 and 26.5.11)
260504,Several polygons; juxtaposed; joined or intersecting
260506,Polygonal figures with one or more convex or concave sides
260508,Polygons with one or more truncated or rounded angles
260509,Polygons containing one or more circles or ellipses (specify the content)
260510,Polygons containing one or more triangles or lines forming an angle (specify the
260511,Polygons containing one or more quadrilaterals (specify the content)
260512,Polygons containing one or more other geometrical figures (specify the content)
260513,Polygons containing representations of heavenly bodies or natural phenomena
260514,Polygons containing representations of human beings or parts of the human body
260515,Polygons containing representations of animals or parts of animals' bodies or pl
260516,Polygons containing other figurative elements
260517,Polygons containing one or more numerals
260518,Polygons containing one or more letters
260519,Polygons with inscriptions projecting beyond the circumference
260522,Polygons containing other inscriptions
260524,Polygons with dark surfaces or parts of surfaces
260599,Polygons containing one or more lines or bands (specify the content)
2607,DIFFERENT GEOMETRICAL FIGURES; JUXTAPOSED; JOINED OR INTERSECTING
260701,Circles or ellipses with one or more segments and/or sectors of circles or ellip
260703,Circles or ellipses with one or more triangles and/or lines forming an angle
260704,Circles or ellipses with lines (except 26.7.3.)
260705,Circles or ellipses with one or more other quadrilaterals
260707,Circle or ellipses with one or more other polygons
260709,Segments or sectors of circles or ellipses with one or more triangles and/or lin
260711,Segments or sectors of circles or ellipses with one or more quadrilaterals
260713,Segments or sectors of circles or ellipses with one or more other polygons
260715,Triangles or lines forming an angle with one or more quadrilaterals
260717,Triangles or lines forming an angle with one or more polygons other than quadril
260718,Triangles with lines
260719,Quadrilaterals with one or more polygons other than triangles
260720,Quadrilaterals with lines
260721,Polygons with lines
260725,Other combinations of different geometrical figures; juxtaposed; joined or inter
2611,LINES; BANDS
261101,One line or one band
261102,Two lines or bands
261103,More than two lines or two bands
261105,Thin lines
261106,Thick lines; bands
261107,Vertical lines or bands
261108,Horizontal lines or bands
261109,Oblique lines or bands
261110,Straight lines or bands
261111,Broken lines or bands (except 26.11.13)
261112,Curved lines or bands (except 26.11.13)
261113,Wavy lines or bands; zigzag lines or bands
261114,Dotted lines or bands
261121,Set of lines evoking speed or propulsion
261122,Set of lines evoking sound or electromagnetic waves
261125,Other lines or bands
261197,Curved lines in the form of a crescent moon
261198,More than three lines
261199,Three lines
2613,OTHER GEOMETRICAL FIGURES; INDEFINABLE DESIGNS
261301,Stains; spots; blots
261325,Other geometrical figures; indefinable designs
261399,Strokes of brush
2615,GEOMETRICAL SOLIDS
261501,Spheres
261503,Cylinders
261505,Cones
261507,Pyramids
261509,Cubes
261511,Parallelepipeds
261513,Prisms
261515,Other polyhedrons
261525,Other geometrical solids
261597,One sphere
261598,several spheres
261599,sphere with inscription
2699,O ELLIPSES
269903,One ellipse
269904,Two ellipses; one inside the other
269905,More than two ellipses; inside one another
269906,Several ellipses; juxtaposed; tangential or intersecting
269907,Ellipses containing one or more circles (precise the content)
269908,Ellipses containing one or more polygons (except 26.1.10 and 26.1.11) (precise t
269910,Ellipses containing one or more triangles or lines forming an angle (precise the
269911,Ellipses containing one or more quadrilaterals (precise the content)
269912,Ellipses containing one or more other geometrical figures (precise the content)
269913,Ellipses containing representations of heavenly bodies or natural phenomena
269914,Ellipses containing representations of human beings or parts of the human body
269915,Ellipses containing representations of animals; parts of animals' bodies or plan
269916,Ellipses containing other figurative elements
269917,Ellipses containing one or more numerals
269918,Ellipses containing one or more letters
269919,Ellipses with inscriptions projecting beyond the circumference
269920,Ellipses containing inscriptions arranged along the radius or diameter
269921,Ellipses containing inscriptions arranged in elliptical form
269922,Ellipses containing inscriptions arranged in some other form
269924,Ellipses with dark surfaces or parts of surfaces
269925,Ellipses representing a halo
269932,Category deleted in new version
269999,Ellipses containing one or more lines or bands (precise the content)
27,FORMS OF WRITING; NUMERALS
2701,LETTERS OR NUMERALS FORMING GEOMETRICAL FIGURES; WRITTEN OR TYPOGRAPHICAL MATTER
270101,*Letters or numerals forming geometrical figures; written or typographical matte
270102,Letters or numerals forming a square or a rectangle (surface or periphery)
270103,Letters or numerals forming any other quadrilateral (surface or periphery)
270104,Letters or numerals forming any other polygon (surface or periphery)
270105,Letters or numerals forming a triangle (surface or periphery)
270106,Letters or numerals forming a circle or a circumference
270107,Letters or numerals forming an ellipse (surface or periphery)
270108,Letters or numerals forming a plano-convex figure
270109,Letters or numerals forming a plano-concave figure
270110,Letters or numerals forming a biconvex figure
270111,Letters or numerals forming a biconcave figure
270112,Letters or numerals forming a figure in the shape of an arc of a circle
270113,Letters or numerals forming a figure in the shape of a band with one or more wav
270116,Letters or numerals in perspective (decreasing towards the center; towards one e
270125,Letters or numerals forming some other geometrical figure
2703,LETTERS OR NUMERALS REPRESENTING HUMAN BEING; AN ANIMAL; PLANT OR AN OBJECT
270301,Letters or numerals representing a human being or a part of the human body; an a
270302,Letters or numerals representing a human being or a part of the human body
270303,Letters or numerals representing an animal or a part of an animal's body
270311,Letters or numerals representing a plant
270312,Letters or numerals representing a heavenly body or a natural phenomenon
270315,Letters or numerals representing a figurative element
2705,LETTERS PRESENTING SPECIAL FORM OF WRITING
270501,Letters presenting a special form of writing
270502,Letters written in double outline
270503,Letters in relief or shaded
270504,Letters embellished or decorated with a drawing
270505,Letters containing written or typographical matter
270506,Letters composed of a collection of drawings
270507,Letters surmounted by a sign of disproportionate size
270508,Letters linked to a figurative element
270509,Series of letters presenting different forms of writing
270510,Series of letters in different dimensions
270511,Letters underlined; overlined; framed or barred by one or more strokes
270512,Letters crossed or barred by letters; numerals or a figurative element
270513,Letters in the form of a signature; illegible signatures
270514,Letters repeated by mirror effect or symmetrically in any position
270515,Series of letters separated from one another other than by a single space
270517,Letters in heavy characters
270519,Letters overlapping
270521,One letter
270522,Monograms formed of intertwined; overlapping or otherwise combined letters
270523,Several letters
270524,Letters in light-coloured characters on a dark background
270525,Letters presenting some other special form of writing
2707,NUMERALS PRESENTING SPECIAL FORM OF WRITING
270701,Numerals presenting a special form of writing
270702,Numerals written in double outline
270703,Numerals in relief or shaded
270704,Numerals embellished or decorated with a drawing containing inscriptions or comp
270711,Numerals juxtaposed or joined to a letter or a figurative element
270712,Numerals crossed or barred by letters or numerals or a figurative element
270713,Numerals in handwritten or simulated handwritten characters
270717,Numerals in heavy characters
270719,Numerals overlapping or composed of irregular characters or arranged irregularly
270721,One numeral
270723,Roman numerals
270724,Numerals in light-coloured characters on a dark background
270725,Numerals presenting some other special form of writing
2799,O ALPHABET
279901,O Letter A
279902,O Letter B
279903,O Letter C
279904,O Letter D
279905,O Letter E
279906,O Letter F
279907,O Letter G
279908,O Letter H
279909,O Letter I
279910,O Letter J
279911,O Letter K
279912,O Letter L
279913,O Letter M
279914,O Letter N
279915,O Letter O
279916,O Letter P
279917,O Letter Q
279918,O Letter R
279919,O Letter S
279920,O Letter T
279921,O Letter U
279922,O Letter V
279923,O Letter W
279924,O Letter X
279925,O Letter Y
279926,O Letter Z
28,INSCRIPTIONS IN VARIOUS CHARACTERS
2801,INSCRIPTIONS IN ARABIC CHARACTERS
2803,INSCRIPTIONS IN CHINESE OR JAPANESE CHARACTERS
2805,INSCRIPTIONS IN CYRILLIC CHARACTERS (Russian; Bulgarin etc.)
2807,INSCRIPTIONS IN GREEK CHARACTERS
2809,INSCRIPTIONS IN HEBREW CHARACTERS
2811,INSCRIPTIONS IN LATIN CHARACTERS
2817,INSCRIPTIONS IN HISTORICAL; CUNEIFORM OR HIEROGLYPHIC CHARACTERS
2819,INSCRIPTIONS IN OTHER CHARACTERS & phonetic writing
29,COLOURS
2901,COLOURS
290101,Red
290102,Yellow
290103,Green
290104,Blue
290105,Violet
290106,White
290107,Brown
290108,Black
290111,One predominant colour
290112,Two predominant colours
290113,Three predominant colours
290114,Four colours
290115,Five colours and over
290195,Silver
290196,Grey
290197,Gold
290198,Orange
290199,Pink
98,OTHER MARKS
9801,SMELL MARK
9802,SOUND MARK
9803,OTHER MARK
9804,3-D VIEWS
9805,Hologram
9806,Motion
9807,Multimedia
9808,Pattern
9809,Position
9810,Colour per se
99,TOO BAD LOGO
9999,TOO BAD LOGO
999999,Too bad logo
