idcategory,categdesc
030228,Animals of Series II sitting down
0303,QUADRUPEDS (SERIES III)
030301,Horses; mules
030302,Donkeys
030303,Zebras
030315,Heads of animals of Series III
030317,Animals of Series III rearing; bounding
030324,Animals of Series III stylized
030325,Animals of Series III in costume
030326,Animals of Series III standing
030327,Animals of Series III lying down
030328,Animals of Series III sitting down
0304,QUADRUPEDS (SERIES IV)
030401,Bovines
030402,Cows; calves
030403,Cows with person milking them
030404,Bisons; bulls
030405,Other bovines
030407,Deer; stags; elk; reindeer; fawns; antelopes
030411,Goats; sheep; moufflons; chamois
030412,Heads of animals of Series IV; without horns (except 3.4.20)
030413,Heads of animals of Series IV; with horns
030414,Heads of stags
030415,Heads of stags with cross between antlers
030416,Heads of elk
030418,Pigs; boars; warthogs; wild boar
030420,Heads of pigs or of boars
030422,Animals of Series IV bounding; galloping
030423,Animals of Series IV charging (attacking)
030424,Animals of Series IV stylized
030425,Animals of Series IV in costume
030426,Animals of Series IV standing
030427,Pigs; boars; warthogs; wild boar
030428,Animals of Series IV sitting down
0305,QUADRUPEDS (SERIES V); QUADRUMANA
030501,Rabbits; hares
030503,Squirrels
030505,Beavers; marmots; badgers; martens; mink ; wolverines; racoon; skunk; armadillos
030506,Ornithorhynchus (duck-billed platypuses)
030507,Rats; mice; moles; hamsters
030509,Hedgehogs; porcupines
030511,Pangolins; anteaters
030515,Kangaroos
030517,Other quadrupeds belonging to Series I to V
030519,Monkeys; apes; orang-utans and other quadrumana
030520,Heads of animals of Series V
030524,Animals of Series V stylized
030525,Animals of Series V in costume
030526,Animals of Series V standing
030527,Animals of Series V lying down
030528,Animals of Series V sitting down
0306,PARTS OF THE BODIES; SKELETONS; SKULLS OF QUADRUPEDS OR OF QUADRUMANA
030601,Parts of the bodies of quadrupeds or of quadrumana; skeletons; skulls
030603,Paws; feet; pawprints; footprints
030605,Skeletons; skulls of quadrupeds or of quadrumana
030606,Horns
030611,Hides; furs; skins
030625,Other parts of the bodies of quadrupeds or of quadrumana
0307,BIRDS; BATS
030701,Eagles; falcons; vultures; condors; hawks
030702,Heraldic eagles
030703,Cocks; hens; chickens
030704,Turkeys; pheasants; peacocks; hoopoes; partridges
030705,Owls
030706,Ducks; geese; swans
030707,Storks; herons; cranes; flamingos or other waders
030708,Penguins
030709,Albatross; cormorants; gulls; pelicans
